,customer_id,order_status,brand,product_line,product_class,product_size,state,property_valuation,gender,past_3_years_bike_related_purchases,wealth_segment,owns_car,tenure,profit,age_group,profit_group
0,2950,1,Solex,Standard,medium,medium,VIC,6,Male,19,Mass Customer,Yes,10.0,17.869999999999997,60-75,0-300
1,2950,1,Giant Bicycles,Standard,medium,medium,VIC,6,Male,19,Mass Customer,Yes,10.0,448.67999999999995,60-75,300-600
2,2950,1,Solex,Standard,medium,medium,VIC,6,Male,19,Mass Customer,Yes,10.0,179.44,60-75,0-300
3,3120,1,Trek Bicycles,Standard,medium,large,NSW,5,Female,89,Mass Customer,Yes,10.0,1702.5499999999997,30-45,1500-1800
4,3120,1,Giant Bicycles,Standard,high,medium,NSW,5,Female,89,Mass Customer,Yes,10.0,451.6500000000001,30-45,300-600
5,3120,1,Solex,Standard,medium,medium,NSW,5,Female,89,Mass Customer,Yes,10.0,25.08999999999999,30-45,0-300
6,3120,1,Giant Bicycles,Standard,medium,large,NSW,5,Female,89,Mass Customer,Yes,10.0,41.129999999999995,30-45,0-300
7,3120,1,Solex,Standard,medium,medium,NSW,5,Female,89,Mass Customer,Yes,10.0,751.02,30-45,600-900
8,3120,1,Solex,Road,medium,medium,NSW,5,Female,89,Mass Customer,Yes,10.0,104.24000000000001,30-45,0-300
9,3120,1,WeareA2B,Touring,medium,medium,NSW,5,Female,89,Mass Customer,Yes,10.0,1103.43,30-45,900-1200
10,402,1,OHM Cycles,Standard,low,medium,NSW,1,Male,9,Affluent Customer,No,22.0,1544.6100000000001,30-45,1500-1800
11,402,1,Trek Bicycles,Road,low,small,NSW,1,Male,9,Affluent Customer,No,22.0,189.27999999999997,30-45,0-300
12,402,1,WeareA2B,Standard,medium,medium,NSW,1,Male,9,Affluent Customer,No,22.0,1069.5500000000002,30-45,900-1200
13,402,1,Trek Bicycles,Standard,medium,large,NSW,1,Male,9,Affluent Customer,No,22.0,1702.5499999999997,30-45,1500-1800
14,402,1,OHM Cycles,Standard,low,medium,NSW,1,Male,9,Affluent Customer,No,22.0,14.229999999999997,30-45,0-300
15,402,1,Norco Bicycles,Road,medium,large,NSW,1,Male,9,Affluent Customer,No,22.0,445.2099999999999,30-45,300-600
16,3135,1,Norco Bicycles,Standard,medium,medium,NSW,10,Male,83,Mass Customer,No,16.0,817.36,45-60,600-900
17,3135,1,Solex,Standard,medium,large,NSW,10,Male,83,Mass Customer,No,16.0,327.9799999999999,45-60,300-600
18,3135,1,Trek Bicycles,Standard,high,medium,NSW,10,Male,83,Mass Customer,No,16.0,143.35999999999999,45-60,0-300
19,3135,1,Solex,Standard,medium,large,NSW,10,Male,83,Mass Customer,No,16.0,327.9799999999999,45-60,300-600
20,3135,1,Solex,Standard,medium,medium,NSW,10,Male,83,Mass Customer,No,16.0,1612.25,45-60,1500-1800
21,3135,1,Solex,Standard,medium,medium,NSW,10,Male,83,Mass Customer,No,16.0,17.869999999999997,45-60,0-300
22,3135,1,Solex,Standard,high,large,NSW,10,Male,83,Mass Customer,No,16.0,737.1700000000001,45-60,600-900
23,787,1,Giant Bicycles,Standard,medium,large,NSW,7,Female,29,Affluent Customer,Yes,2.0,1055.82,15-30,900-1200
24,787,1,WeareA2B,Standard,medium,medium,NSW,7,Female,29,Affluent Customer,Yes,2.0,1279.3999999999999,15-30,1200-1500
25,787,1,Solex,Touring,medium,large,NSW,7,Female,29,Affluent Customer,Yes,2.0,1408.91,15-30,1200-1500
26,787,1,OHM Cycles,Standard,high,medium,NSW,7,Female,29,Affluent Customer,Yes,2.0,583.2700000000001,15-30,300-600
27,787,1,OHM Cycles,Standard,high,medium,NSW,7,Female,29,Affluent Customer,Yes,2.0,583.2700000000001,15-30,300-600
28,787,1,Solex,Standard,medium,medium,NSW,7,Female,29,Affluent Customer,Yes,2.0,356.5,15-30,300-600
29,787,1,WeareA2B,Standard,medium,medium,NSW,7,Female,29,Affluent Customer,Yes,2.0,15.080000000000005,15-30,0-300
30,787,1,Giant Bicycles,Standard,medium,medium,NSW,7,Female,29,Affluent Customer,Yes,2.0,57.72999999999999,15-30,0-300
31,787,1,Giant Bicycles,Standard,medium,large,NSW,7,Female,29,Affluent Customer,Yes,2.0,1230.27,15-30,1200-1500
32,787,1,Norco Bicycles,Mountain,low,small,NSW,7,Female,29,Affluent Customer,Yes,2.0,75.75,15-30,0-300
33,2339,1,Giant Bicycles,Road,medium,medium,NSW,10,Male,3,Affluent Customer,Yes,16.0,709.34,45-60,600-900
34,2339,1,Giant Bicycles,Standard,high,small,NSW,10,Male,3,Affluent Customer,Yes,16.0,217.51,45-60,0-300
35,2339,1,OHM Cycles,Standard,medium,medium,NSW,10,Male,3,Affluent Customer,Yes,16.0,693.76,45-60,600-900
36,2339,1,Norco Bicycles,Standard,low,medium,NSW,10,Male,3,Affluent Customer,Yes,16.0,72.59999999999997,45-60,0-300
37,2339,1,Norco Bicycles,Standard,high,small,NSW,10,Male,3,Affluent Customer,Yes,16.0,182.81000000000017,45-60,0-300
38,2339,0,OHM Cycles,Standard,medium,medium,NSW,10,Male,3,Affluent Customer,Yes,16.0,1592.19,45-60,1500-1800
39,2339,1,Giant Bicycles,Road,medium,medium,NSW,10,Male,3,Affluent Customer,Yes,16.0,709.34,45-60,600-900
40,2339,1,Norco Bicycles,Road,medium,medium,NSW,10,Male,3,Affluent Customer,Yes,16.0,135.84999999999997,45-60,0-300
41,2339,1,Solex,Standard,medium,medium,NSW,10,Male,3,Affluent Customer,Yes,16.0,356.5,45-60,300-600
42,1542,1,WeareA2B,Standard,medium,medium,NSW,10,Male,56,Mass Customer,Yes,12.0,15.080000000000005,30-45,0-300
43,1542,1,Giant Bicycles,Road,medium,medium,NSW,10,Male,56,Mass Customer,Yes,12.0,198.22000000000003,30-45,0-300
44,1542,1,Norco Bicycles,Standard,high,small,NSW,10,Male,56,Mass Customer,Yes,12.0,182.81000000000017,30-45,0-300
45,1542,1,Norco Bicycles,Standard,medium,small,NSW,10,Male,56,Mass Customer,Yes,12.0,133.7800000000002,30-45,0-300
46,1542,1,Trek Bicycles,Road,medium,large,NSW,10,Male,56,Mass Customer,Yes,12.0,1295.43,30-45,1200-1500
47,2459,1,WeareA2B,Standard,medium,medium,QLD,6,Female,67,High Net Worth,No,18.0,1279.3999999999999,30-45,1200-1500
